Survey,Variable,Question Text,Type of Q,Response Categories,Notes
NSSS_9596,p78q3d,Do you think women should have the right to parental leave?,Job vs. gender,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00966
NSSS_9596,p78q3e,Do you think men should have the right to parental leave?,Job vs. gender,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/00966
NSSS_9596,p78q5c,How long do you think people should be allowed to take unpaid parental leave for? Women,Job vs. gender,1 Should not be allowed / 2 two weeks / 3 one month / 4 two month / 5 three month / 6 six month / 7 nine month / 8 one year / 9 one year more,http://www.ada.edu.au/social-science/00966
NSSS_9596,p78q5d,How long do you think people should be allowed to take unpaid parental leave for? Men,Job vs. gender,1 Should not be allowed / 2 two weeks / 3 one month / 4 two month / 5 three month / 6 six month / 7 nine month / 8 one year / 9 one year more,http://www.ada.edu.au/social-science/00966
NSSS_9596,p79q8a,Now think of a chiId under 3 years old. How suitable do you think each of these would be for childcare during the day.. Mother,women's job is for family,1 Best / 5 Not at all,http://www.ada.edu.au/social-science/00966
NSSS_9596,p79q8b,Now think of a chiId under 3 years old. How suitable do you think each of these would be for childcare during the day.. Father ,women's job is for family,1 Best / 5 Not at all,http://www.ada.edu.au/social-science/00966
BEPS_2010,cp20,Do you attend meetings of associations or groups of women or home makers?,Participation to women's group,1 Once a week / 2 Once or twice a month / 3 Once or twice a year  / 4 Neer ,"http://www.iadb.org/en/research-and-data/publication-details,3169.html?pub_id=IDB-DB-105"
BEPS_2010,dis12,"Thinking about the past five years, how often have you felt discriminated or treated unfairly because of your gender or sex?",Gender discrimination,1 Often / 2 Sometimes / 3 Rarely / 4 Never,"http://www.iadb.org/en/research-and-data/publication-details,3169.html?pub_id=IDB-DB-105"
BEPS_2010,rac1e,How often have you witnessed situations where another person was discriminated or treated unfairly because of their gender or sex?,Gender discrimination,1 Often / 2 Sometimes / 3 Rarely / 4 Never,"http://www.iadb.org/en/research-and-data/publication-details,3169.html?pub_id=IDB-DB-105"
BDA_2002,v72,How important are the following traits for Who you personally are? My gender-being a man or a woman,Gender matteres?,"0 no relation at all / 9 most closely related, inseparable",http://zacat.gesis.org/webview/
BDA_2002,v110,Men should earn the living and women should take care of the household,women's job is for family,1 fully disagree / 5 fully agree,http://zacat.gesis.org/webview/
CNES_1990,"v51, v52",Society In it’s development faces different problems which are sometimes represented by an unequal situation of different social groups. Where do you think exists the biggest inequality? Two responses.,    Women vs. men: conflict,1 Between different sexes,http://zacat.gesis.org/webview/
CNES_1990,v53,In the following here are some existing inequalities in the society. Which of them could your party of choice,,,
"solve?""",Government: women policy,1 Between different sexes,http://zacat.gesis.org/webview/,,
CNES_1992,"v47, v48",Society In it’s development faces different problems which are sometimes represented by an unequal situation of different social groups. Where do you think exists the biggest inequality? Two responses.,Women vs. men: conflict,1 Between different sexes,http://zacat.gesis.org/webview/
CNES_2000,C24gzene,"To what extent do you agree or disagree with the following statements: Women, belong at home, where they should take care of the household and raise children.",women's job is for family,1 I don't agree at all / 4 I completely agree,http://zacat.gesis.org/webview/
CNES_2003,p24_h,To what degree do you think new government should focus on accomplishments of the following goals? improvement of the social position of women,Government: women policy,1 None / 2 A bit / 3 to a certain degree / 4  A lot,http://zacat.gesis.org/webview/
CNES_2003,p26_g,"How much do you agree or don't agree with the following statements: Women's place is, first of all, at home, where they should take care of the household and children.",women's job is for family,1 I completely disagree / 5 I agree completely,http://zacat.gesis.org/webview/
CNES_2003,p38,Do you think that so called women's quota on candidates list for the election for Croatian parliament should be prescribed by law?,Government: women policy,1 yes / 2 no,http://zacat.gesis.org/webview/
CE_post_1996,v118,A man should earn money; the task of a woman is to take care of household and family.,women's job is for family,1 Completely agree / 5 Completely disagree,http://zacat.gesis.org/webview/
ELL_92-3,v16,"Please look at the following list of organisations and activities and say, a) which, if any do you currently belong to Women's organizations",Participation to women's group,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
ELL_92-3,v26,"Please look at the following list of organisations and activities and say, b) Which, if any, are you doing unpaid work for Women's organizations",Participation to women's group,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
ELL_92-3,v36,"Please look at the following list of organisations and activities and say, c.) Have you belonged earlier to some organisation or",,,
"activity which are you not belong any more now? Women's organizations""",Participation to women's group,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/,,
ELL_92-3,v46,"Please look at the following list of organisations and activities and say, d) One more question: Have you earlier done unpaid work at some voluntary organisation in addition to your present activities? Women's organizations",Participation to women's group,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
ELL_92-3,v57,"Please look at the following list of organisations and activities and say, Do paid work for womens organizations.",Participation to women's group,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
ELL_92-3,v67,"Please look at the following list of organisations and activities and say, Did paid work for womens organizations.",Participation to women's group,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Estonia_95,v14,"which, if any do you currently belong to? Womens organisations",Participation to women's group,1 yes / 2 no,http://zacat.gesis.org/webview/
Estonia_95,v24,b) have you belonged earlier to some organisation or activity which are you not belong any more now? Womens organizations,Participation to women's group,1 yes / 2 no,http://zacat.gesis.org/webview/
Hun_pre_1990,v64,"What kind of representative would you prefer to have? (A) Would you prefer a man, a woman, or does it not matter",,,
"to you?""",Women in public office,1 a female representative / 2 a male representative / 3 does not matter,http://zacat.gesis.org/webview/,,
Hun_pre_1990,v141,Trust in men and women: ... if the driver of the bus you take is a man or a woman?,Job vs. gender,1 trust in a man only / 2 more trust in a man / 3 it makes no difference / 4 more trust in a woman / 5 trust in a woman only,http://zacat.gesis.org/webview/
Hun_pre_1990,v142,Trust in men and women: ... if the mayor or chairman of the local council is a man or a woman?,Job vs. gender,1 trust in a man only / 2 more trust in a man / 3 it makes no difference / 4 more trust in a woman / 5 trust in a woman only,http://zacat.gesis.org/webview/
Hun_pre_1990,v143,Trust in men and women: ... if the lawyer defending you before the jury is a man or a woman?,Job vs. gender,1 trust in a man only / 2 more trust in a man / 3 it makes no difference / 4 more trust in a woman / 5 trust in a woman only,http://zacat.gesis.org/webview/
Hun_pre_1990,v144,Trust in men and women: ... if your boss is a man or a woman?,Job vs. gender,1 trust in a man only / 2 more trust in a man / 3 it makes no difference / 4 more trust in a woman / 5 trust in a woman only,http://zacat.gesis.org/webview/
Hun_pre_1990,v145,Trust in men and women: ... if your MP is a man or a woman?,Job vs. gender,1 trust in a man only / 2 more trust in a man / 3 it makes no difference / 4 more trust in a woman / 5 trust in a woman only,http://zacat.gesis.org/webview/
Hun_pre_1990,v146,Trust in men and women: ... if the surgeon who operates on you is a man or a woman?,Job vs. gender,1 trust in a man only / 2 more trust in a man / 3 it makes no difference / 4 more trust in a woman / 5 trust in a woman only,http://zacat.gesis.org/webview/
Hun_pre_1990,v147,Trust in men and women: ... if a cabinet minister is a man or a woman?,Job vs. gender,1 trust in a man only / 2 more trust in a man / 3 it makes no difference / 4 more trust in a woman / 5 trust in a woman only,http://zacat.gesis.org/webview/
Hun_pre_1990,v148,Trust in men and women: ... if the leader of the party,,,
"you sympathize with is a man or a woman ?""",Job vs. gender,1 trust in a man only / 2 more trust in a man / 3 it makes no difference / 4 more trust in a woman / 5 trust in a woman only,http://zacat.gesis.org/webview/,,
Hun_pre_1990,v149,"Please tell me whether you agree or disagree with the claim that it is the women's duty to take care of the family and the household, whereas the country's affairs are men's business.",women's job is for family,1 agree / 2 undecided / 3 disagree,http://zacat.gesis.org/webview/
Hun_pre_1990,v150,Please tell me whether you agree or disagree with the claim that men are usually more interested in politics than women are.,"Politics, for men!",1 agree / 2 undecided / 3 disagree,http://zacat.gesis.org/webview/
Hun_pre_1990,v151,Please tell me whether you agree or disagree with the claim that a woman politician can never be as popular as a man.,"Politics, for men!",1 agree / 2 undecided / 3 disagree,http://zacat.gesis.org/webview/
Hun_pre_1990,v153,Do you think it would be better if there were more women among the politicians?,Women in public office,1 it would not be better / 2 it would be better / 3 other answer,http://zacat.gesis.org/webview/
Hun_post_1994,v150,"Again, using the card you have, please indicate to what extent you agree that...3. It is the duty of the husband to earn money, while it is the duty of the wife to busy herself with household affairs and the children.",women's job is for family,1 Completely disagree / 5 Completely agree,http://zacat.gesis.org/webview/
Hun_post_1994,v151,"Again, using the card you have, please indicate to what extent you agree that...4. If women work full-time, it is family life that suffers.",Approval of female working ,1 Completely disagree / 5 Completely agree,http://zacat.gesis.org/webview/
Latvia_1995,v14,"Please look at the following list of organisations and activities and say, a) which, if any, you currently belong to Womens organisations",Participation to women's group,1 yes / 0 no,http://zacat.gesis.org/webview/
Latvia_1995,v24,"Please look at the following list of organisations and activities and say, b) have you belonged earlier to an organisation or activity",,,
"which you do not belong to any more now? Womens organisations""",Participation to women's group,1 yes / 0 no,http://zacat.gesis.org/webview/,,
PNES_1997,sexrl052,"Tell me to what extent do you agree or disagree with the following statements: /B/ Man's role is to earn money, woman's -- to take care of the house and family.",Women's job is for family,1 definitely agree / 5 definitely disagree,http://zacat.gesis.org/webview/
PNES_2001,dgend258,"People associate democracy with different phenomena. Please, respond whether and to what extend you associate the word ""democracy"" with the following issues: /E/ equal rights for women and men",Equality,1 I associate it at a great extent / 4 I don't associate it at all,http://zacat.gesis.org/webview/
Slovakia_1999,v184,Imagine that your task is to give advice to your friends or family members on which approach in life is suitable or correct. To which extent would you think that the following pieces of advice are right? Man is the family boss and other family members should fully respect him.,Wife should obey,1 fully right / 4 fully wrong,http://zacat.gesis.org/webview/
Slovakia_1999,v186,Imagine that your task is to give advice to your friends or family members on which approach in life is suitable or correct. To which extent would you think that the following pieces of advice are right? Politics is none of women's business.,"Politics, for men!",1 fully right / 4 fully wrong,http://zacat.gesis.org/webview/
Slovakia_1999,v187,Imagine that your task is to give advice to your friends or family members on which approach in life is suitable or correct. To which extent would you think that the following pieces of advice are right? Married women should not go to work but rather take care of their children and of the house.,Women's job is for family,1 fully right / 4 fully wrong,http://zacat.gesis.org/webview/
Slovakia_1999,v27,"To which extent do you agree or disagree with the following statements? ""In case of job shortage, men should be given preference in recruitment"".",Job vs. gender,1 fully agree / 4 fully disagree,http://zacat.gesis.org/webview/
Slovenia_1990,v54,"MORE THAN 44% OF WOMEN ARE EMPLOYED IN SLOVENIA. IN YOUR OPINION, WHAT IS BETTER AS FAR AS EMPLOYMENT OF WOMEN IS CONCERNED?",Approval of female working ,"1 That woman, if only possible, stays at home",
"2 That a woman is employed""",http://zacat.gesis.org/webview/,,,,
Slovenia_1996,v185,Politics is a matter of men that women do not fit into,"Politics, for men!",1 I agree completely / 5 I disagree completely,http://zacat.gesis.org/webview/
Slovenia_1996,v186,If there were more women in politics than things would run better,"Politics, for men!",1 I agree completely / 5 I disagree completely,http://zacat.gesis.org/webview/
Slovenia_1996,v232,"VALUES, RELIGION, RELIGIOUSNESS ... WE WILL LIST A FEW WORDS AND NOTIONS. EVALUATE, IN A QUICK WAY, ACCORDING TO A FIRST IMPRESSION, WITHOUT ANY LONGER CONSIDERATION, YOUR ATTITUDE TOWARDS THEM, WHETHER IT IS VERY POSITIVE, POSITIVE, NEGATIVE, OR VERY NEGATIVE. k) Equality of sexes",Equality,1 very negative / 5 very postive,http://zacat.gesis.org/webview/
Slovenia_1997,v175,Excessive equalising of rights of both sexes is usually not good.,Equality,1 I agree completely / 5 I do not agree at all,http://zacat.gesis.org/webview/
Serbia_2002,v147,"Do you think there are too few women in politics, enough women in politics or too many women in politics?",Women in public office,1 there are too few / ,
"3 there are too many""",http://zacat.gesis.org/webview/,,,,
Serbia_2002,v148,What are the main problems women face in Serbia today? Choose three most important problems from this list. 1. Violence against women,Gender matteres?,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Serbia_2002,v149,What are the main problems women face in Serbia today? Choose three most important problems from this list. 2 unfair working condition,Gender matteres?,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Serbia_2002,v150,What are the main problems women face in Serbia today? Choose three most important problems from this list. 3 Unemployment,Gender matteres?,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Serbia_2002,v151,What are the main problems women face in Serbia today? Choose three most important problems from this list. 4 poverty,Gender matteres?,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Serbia_2002,v152,What are the main problems women face in Serbia today? Choose three most important problems from this list. 5 Being main responsible for child support,Gender matteres?,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Serbia_2002,v153,What are the main problems women face in Serbia today? Choose three most important problems from this list. 6. Political under representation,Gender matteres?,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Serbia_2002,v154,What are the main problems women face in Serbia today? Choose three most important problems from this list. 7. Lack of public right to be heard,Gender matteres?,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Serbia_2002,v155,What are the main problems women face in Serbia today? Choose three most important problems from this list. 8. Shortages in health care system,Gender matteres?,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Serbia_2002,v156,What are the main problems women face in Serbia today? Choose three most important problems from this list. 9. Discrimination in private life,Gender matteres?,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Serbia_2002,v157,What are the main problems women face in Serbia today? Choose three most important problems from this list. 10. Discrimination in public life,Gender matteres?,1 mentioned / 0 not mentioned,http://zacat.gesis.org/webview/
Serbia_2002,v159,Do you think men and women in Serbia have equal opportunities...? a) In education,Equality,1 yes / 2 no,http://zacat.gesis.org/webview/
Serbia_2002,v160,Do you think men and women in Serbia have equal opportunities...? b) In employment,Equality,1 yes / 2 no,http://zacat.gesis.org/webview/
Serbia_2002,v161,Do you think men and women in Serbia have equal opportunities...? b) In politics,Equality,1 yes / 2 no,http://zacat.gesis.org/webview/
Serbia_2002,v162,Do you think men and women in Serbia have equal opportunities...? b) In business,Equality,1 yes / 2 no,http://zacat.gesis.org/webview/
AuSSA_2003,v108,"Thinking about relationships and children today, please tell us how much you agree or disagree with each of the following statements. c. A father should be as heavily involved in the care of his children as the mother","Politics, for men!",1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/01070
AuSSA_2003,v110,A preschool child is likely to suffer if his or her mother works,Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/01070
"AuSSA_2005,       & (SA)",v137,"Thinking about relationships and children today, please tell us how much you agree or disagree with each of the following statements. c. A preschool child is likely to suffer if his or her mother works",Approval of working mom,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/01088
AuSSA_2007,v461,"It's OK for men to play around, but a woman should be faithful to her husband or boyfriend",women vs. men,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/01127
AuSSA_2007,v462,Women have been unfairly treated in the workplace and need better pay and promotion,Gender discrimination,1 Strongly agree / 5 Strongly disagree,http://www.ada.edu.au/social-science/01127
AuSSA_2007,v463,Which one of the following statements best describes the type of men you admire most? 1 A man who takes charge and makes things happen / 2 A man who is creative and flexible / 3 A man who is reliable and hardworking,women vs. men,1 to 3,http://www.ada.edu.au/social-science/01127
AuSSA_2007,v464,Which one of the following statements best describes the type of women you admire most? 1 A woman who is lively and attractive / 2 A woman who knows how to look after other people / 3 A woman who is intelligent and independent,women vs. men,1 to 3,http://www.ada.edu.au/social-science/01127
arabb1,q5051,A woman can be a president or prime minister of a Muslim country ,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABI_Questionnaire_ENG.pdf
arabb1,q5052,A married woman can work outside the home if she wishes ,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABI_Questionnaire_ENG.pdf
arabb1,q5053,"On the whole, men make better political leaders than women do ",Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABI_Questionnaire_ENG.pdf
arabb1,q5054,A university education is more important for a boy than a girl ,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABI_Questionnaire_ENG.pdf
arabb1,q5055,Men and women should have equal job opportunities and wages ,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABI_Questionnaire_ENG.pdf
arabb1,q5056,Men and women should receive equal wages and salaries ,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABI_Questionnaire_ENG.pdf
arabb1,q5057,A woman can travel abroad by herself if she wishes ,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABI_Questionnaire_ENG.pdf
arabb1,q5046,"In Islam a woman should dress modestly, but Islam does not require that she wear a hijab. ",Muslim vs Women,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABI_Questionnaire_ENG.pdf
arabb1,q5044,It is acceptable in Islam for male and female university students to attend classes together,Muslim vs Women,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABI_Questionnaire_ENG.pdf
arabb2,q2061,What are the two most important challenges your country is facing today? Women's Rights,Women's Rights,0 Not mentioned / 1 Mentioned,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q2062,What are the two most important challenges your country is facing today? Women's Rights,Women's Rights,0 Not mentioned / 1 Mentioned,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60101,A woman can become the prime minister or president of a Muslim state. ,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60102,A married woman can work outside the home.,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60103,"In general, men are better at political leadership than women",Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60104,University education for males is more important than university education for females. ,Women's Rights,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60105,Men and women should have equal work opportunities.,Women's Rights,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60107,It is permissible for a woman to travel abroad by herself.,Women's Rights,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60108,A woman should obtain her inheritance (she should not be denied her inheritance). ,Women's Rights,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60109,Women’s share of inheritance should be equal to that of men.,Women's Rights,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60110,Women can assume judicial positions.,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60111,Women can become ministers.,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60112,The first wife’s consent is a prerequisite for permitting a man to marry a second woman.,Women and Family,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60113,A woman can reject a marriage that her family chose for her without her consent. ,Women and Family,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60114,Women and men should have equal rights in making the decision to divorce. ,Women and Family,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60115,The law should not allow a man to marry more than one woman.,Women and Family,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60116,The right to divorce should be granted to men only.,Women and Family,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q60117,The law should permit the man to marry more than one wife.,Women and Family,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb2,q6076,Women should wear modest clothes without needing to wear hijab. ,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABII_Questionnaire_English-1.pdf
arabb3,q6012,A married woman can work outside the home.,Women's Rights,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIII_Questionnaire_ENG.pdf
arabb3,q6013,"In general, men are better at political leadership than women. ",Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIII_Questionnaire_ENG.pdf
arabb3,q6014,University education for males is more important than university education for females. ,Women's Rights,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIII_Questionnaire_ENG.pdf
arabb3,q6076,Women should wear modest clothes without needing to wear a hijab.,Muslim vs Women,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIII_Questionnaire_ENG.pdf
arabb3,q713,What is the most positive policy that the US can follow in our region? Promote Women's Rights,Women's Rights,0 Not mentioned / 5 Mentioned,https://www.arabbarometer.org/wp-content/uploads/ABIII_Questionnaire_ENG.pdf
arabb3,q812a1,Insuring equal rights between men and women,Women's Rights,1 Very Important / 4 Not Important at all,https://www.arabbarometer.org/wp-content/uploads/ABIII_Questionnaire_ENG.pdf
arabb4,q6011,A woman can become President or Prime Minister of a Muslim country. ,Women in Society,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIV_Questionnaire_ENG-2.pdf
arabb4,q6012,A married woman can work outside the home if she wishes.,Women's Rights,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIV_Questionnaire_ENG-2.pdf
arabb4,q6013,University education for males is more important than university education for females. ,Women's Rights,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIV_Questionnaire_ENG-2.pdf
arabb4,q6014,Women and men should have equal rights to their inheritance (Women should not be denied their right).,Women's Rights,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIV_Questionnaire_ENG-2.pdf
arabb4,q6018,Husbands should have final say in all decisions concerning the family.,Women in Family,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIV_Questionnaire_ENG-2.pdf
arabb4,q713,What policy do you think would be the most positive thing that the US could do in your country? Promoting women’s rights  ,Women's Rights,0 Not mentioned / 4 Mentioned,https://www.arabbarometer.org/wp-content/uploads/ABIV_Questionnaire_ENG-2.pdf
arabb4,q6074,It is acceptable in Islam for male and female university students to attend classes together,Muslim vs Women,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIV_Questionnaire_ENG-2.pdf
arabb4,q6076,"A woman should dress modestly, but Islam does not require that she wear a hijab",Muslim vs Women,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIV_Questionnaire_ENG-2.pdf
ases2000,V0125,Here is a list of issues. Do you think they have grown important within [JAPAN] or internationally in the past 5 years? The problem of women’s rights,Women's Rights,1 Grown more important / 2 Grown less important / 3 No change,https://www.icpsr.umich.edu/web/ICPSR/studies/22324
ases2000,V0215,A women’s primary role is in the home,Women in Family,1 Strongly Agree / 4 Strongly Disagree,https://www.arabbarometer.org/wp-content/uploads/ABIV_Questionnaire_ENG-2.pdf
pew2002,q53b,Women should have the right to decide if they wear a veil.,Women's Veil,1 Completely Agree / 4 Completely Disagree,https://www.pewresearch.org/global/dataset/summer-2002-survey-data/
pew2002,q53c,There should be restrictions on men and women being employed in the same workplace.,Women in Society,1 Completely Agree / 4 Completely Disagree,https://www.pewresearch.org/global/dataset/summer-2002-survey-data/
pew2002,q53d,Women should be able to work outside the home.,Women in Society,1 Completely Agree / 4 Completely Disagree,https://www.pewresearch.org/global/dataset/summer-2002-survey-data/
pew2005_6,Q46,Some countries have decided to ban the wearing of head scarves by Muslim women in public places including schools. Do you think this is a good idea or a bad idea? ,Women's Scarves,1 Good Idea / 2 Bad Idea,https://www.pewresearch.org/global/dataset/may-2005-survey-data/
pew2005_11,Q20,Some countries have decided to ban the wearing of head scarves by Muslim women in public places including schools. Do you think this is a good idea or a bad idea? ,Women's Scarves,1 Good Idea / 2 Bad Idea,https://www.pewresearch.org/global/dataset/may-2005-survey-data/
pew2006,Q64_Allowempress,Do you favor or oppose changing the Imperial Household Act so that a female could succeed to the imperial throne?,Women in Society,1 Favor / 2 Oppose,https://www.pewresearch.org/global/dataset/spring-2006-survey-data/
pew2007,Q47,Which one of the following statements comes closest to your opinion about men and women as political leaders? ,Women in Society,"1 Men generally make better political leaders than women / 2 Women generally make better political leaders than men / 3 In general, women and men make equally good political leaders.",https://www.pewresearch.org/global/dataset/spring-2007-survey-data/
pew2007,Q74A,Women should have the right to decide if they wear a veil. ,Women's Veil,1 Completely Agree / 4 Completely Disagree,https://www.pewresearch.org/global/dataset/spring-2007-survey-data/
pew2007,Q74B,There should be restrictions on men and women being employed in the same workplace.,Women in Society,1 Completely Agree / 4 Completely Disagree,https://www.pewresearch.org/global/dataset/spring-2007-survey-data/
pew2008,q55aa,Women should have the right to decide if they wear a veil.,Women's Veil,1 Completely Agree / 4 Completely Disagree,https://www.pewresearch.org/global/dataset/spring-2008-survey-data/
pew2008,q55ab,There should be restrictions on men and women being employed in the same workplace.,Women in Society,1 Completely Agree / 4 Completely Disagree,https://www.pewresearch.org/global/dataset/spring-2008-survey-data/
pew2010,Q47,"Please tell me if you agree or disagree with the following statement.  Men get more opportunities than women for jobs that pay well, even when women are as qualified as men for the job. Do you completely agree, mostly agree, mostly disagree or completely disagree? ",Women in Society,1 Completely Agree / 4 Completely Disagree,
pew2010,Q59,"Some countries are considering a ban on Muslim women wearing full veils that cover all of the face except the eyes in public places including schools, hospitals, and government offices. Would you approve or disapprove of such a ban in (survey country)?   ",Women's Veil,1 Approve / 2 Disapprove,https://www.pewresearch.org/global/dataset/spring-2010-survey-data/
pew2010,Q59FRA,"The government is considering a ban on Muslim women wearing full veils that cover all of the face except the eyes in public places including schools, hospitals, and government offices. Do you approve or disapprove of such a ban?   ",Women's Veil,1 Approve / 2 Disapprove,https://www.pewresearch.org/global/dataset/spring-2010-survey-data/
pew2010,Q69A,Women should have the right to decide if they wear a veil.  ,Women's Veil,1 Completely Agree / 4 Completely Disagree,https://www.pewresearch.org/global/dataset/spring-2010-survey-data/
pew2010,Q69B,Women should be able to work outside the home. ,Women in Society,1 Completely Agree / 4 Completely Disagree,https://www.pewresearch.org/global/dataset/spring-2010-survey-data/
pew2010,Q69C,"When jobs are scarce, men should have more right to a job than women. ",Women in Society,1 Completely Agree / 4 Completely Disagree,https://www.pewresearch.org/global/dataset/spring-2010-survey-data/
pew2010,Q80,"On a different subject, do you think women should have equal rights with men, or shouldn’t they? ",Women in Society,1 Should / 2 Should not,https://www.pewresearch.org/global/dataset/spring-2010-survey-data/
pew2010,Q81,Which of these two statements comes closer to your own views?even if neither is exactly right.  ,Women's Rights,1 (Survey country) has made most of the changes needed to give women equal rights with men / 2 (Survey country) needs to continue making changes to give women equal rights with men,https://www.pewresearch.org/global/dataset/spring-2010-survey-data/
